names,x,y,manual_label,correct_label,x3,y3,x4,y4
Digit 3,-18.598846,14.546869,-,Digit 3,-12.0306,-13.2463,5.1248,6.7419
Digit 5,-15.172027,5.683902,-,Digit 5,17.1235,12.7923,9.4834,20.8144
Digit 6,20.547682,17.970026,-,Digit 6,-5.2751,1.1782,-12.2014,-19.8605
Digit 1,23.652184,22.103079,-,Digit 1,-18.0754,-5.2837,4.5008,16.3291
Digit 4,-3.0976615,-31.895702,-,Digit 4,-11.7463,-4.6905,10.7196,-13.4943
Digit 7,22.613462,-26.254618,-,Digit 7,-3.029,-19.1253,-5.0994,3.4724
Digit 7,20.818373,-27.143415,-,Digit 7,16.8146,12.2164,1.2445,3.9337
Digit 6,-20.702702,-20.884975,-,Digit 6,-9.8638,2.0052,16.8115,2.9475
Digit 2,-4.7082067,27.195127,-,Digit 2,15.2068,14.2152,-16.5175,12.898
Digit 6,-21.469835,-27.357542,-,Digit 6,3.2394,-2.0462,9.1318,20.1175
Digit 7,19.817453,-28.184324,-,Digit 7,-19.6441,-11.7415,2.2913,-18.471
Digit 0,-33.18229,9.825822,-,Digit 0,-1.2302,-13.238,-9.9044,11.612
Digit 3,-16.993914,14.665086,-,Digit 3,-12.634,18.8028,5.9952,-16.4992
Digit 0,-36.068657,7.3795304,-,Digit 0,8.8927,-17.4079,-3.9499,7.9062
Digit 4,-15.760696,-15.690261,-,Digit 4,10.9904,-3.1742,5.2261,4.5726
Digit 4,-7.2460685,-24.216118,-,Digit 4,20.0744,3.9846,2.5666,17.886
Digit 2,1.0401938,36.620655,-,Digit 2,-9.7363,3.7832,-16.3633,-9.4683
Digit 5,-11.655034,3.6937876,-,Digit 5,-16.7137,12.7779,-10.8222,20.3359
Digit 1,16.575277,33.20165,-,Digit 1,13.9609,15.0768,-11.4116,-16.0386
Digit 9,6.157077,-14.824551,-,Digit 9,-11.3136,11.6646,-18.4974,14.2841
Digit 0,-12.727534,-28.522276,-,Digit 0,15.7909,13.8157,9.4048,14.1063
Digit 6,-20.02652,-20.490797,-,Digit 6,2.1786,-1.2438,3.444,0.1523
Digit 2,1.8220166,5.0825877,-,Digit 2,8.6894,-3.7397,19.0413,-2.5905
Digit 7,22.835897,-32.788788,-,Digit 7,-15.4217,10.6231,-0.9286,15.9048
Digit 1,20.568817,26.064804,-,Digit 1,-18.7777,-6.7882,17.2373,-15.2511
Digit 5,-17.443132,-0.79227775,-,Digit 5,-2.3642,2.9847,-18.7981,17.7816
Digit 4,18.18258,-1.1730868,-,Digit 4,16.7335,-6.9927,18.3,-5.8334
Digit 6,-23.402227,-28.711372,-,Digit 6,-7.9217,5.9879,-1.3081,-0.5519
Digit 6,-18.203878,-13.297867,-,Digit 6,7.287,-18.4814,12.7648,-15.7489
Digit 6,-18.235617,-17.060244,-,Digit 6,-3.7322,3.6673,-3.5083,9.2322
Digit 9,20.039074,-10.823514,-,Digit 9,11.4168,-14.0154,1.831,-16.819
Digit 9,14.15481,-15.894691,-,Digit 9,-17.1676,-17.8682,19.9401,7.0579
Digit 9,21.311382,-10.164749,-,Digit 9,13.3878,-4.0341,-0.5401,4.2916
Digit 8,-0.5236051,8.961994,-,Digit 8,-13.0766,-2.8617,-12.0967,1.7002
Digit 9,-0.83833,-26.189184,-,Digit 9,12.5166,-10.4444,-9.4824,-7.9031
Digit 3,-11.95549,17.874603,-,Digit 3,18.1826,-4.5535,-2.1312,-13.6956
Digit 9,17.771584,-14.850277,-,Digit 9,-4.4186,15.6908,8.1109,17.3531
Digit 7,23.624249,-29.970594,-,Digit 7,16.3554,-10.43,4.0223,-2.533
Digit 2,-10.792762,34.588524,-,Digit 2,16.3513,-3.3678,-6.6138,10.5672
Digit 7,19.694675,-30.048399,-,Digit 7,-3.8875,17.6528,1.1499,-9.7407
Digit 9,-2.150995,-27.092024,-,Digit 9,-13.0646,-9.43,-10.3022,16.5892
Digit 3,-9.191617,10.193525,-,Digit 3,18.181,16.1644,5.06,-18.7072
Digit 4,8.30198,-11.670263,-,Digit 4,-12.4389,5.1712,-0.0704,14.9474
Digit 7,34.06844,-15.342523,-,Digit 7,7.3635,6.4333,-11.7685,9.9011
Digit 7,26.860529,-14.212235,-,Digit 7,-9.8218,-17.3406,-9.9113,19.0497
Digit 9,22.188168,-6.22002,-,Digit 9,-1.9087,17.3132,10.039,17.5893
Digit 0,-30.2296,7.565858,-,Digit 0,-13.9827,-16.3613,1.3277,2.4838
Digit 3,-11.803854,22.649647,-,Digit 3,1.2576,20.7797,-4.8216,-5.0063
Digit 3,-6.3054323,12.868533,-,Digit 3,-1.215,16.2449,-5.2112,6.5441
Digit 9,19.220316,-9.86276,-,Digit 9,8.4309,-11.2262,-12.2987,5.0753
Digit 8,7.6752853,5.377662,-,Digit 8,6.1259,-0.6353,19.9063,15.9404
Digit 8,5.6780243,14.474047,-,Digit 8,11.1573,-5.3314,13.8086,14.8581
Digit 5,1.8492732,-4.326112,-,Digit 5,-3.5707,-10.0092,14.5868,-5.9364
Digit 0,-36.06556,-6.26478,-,Digit 0,15.1347,11.9317,-18.042,-14.5794
Digit 9,14.1175375,-15.251044,-,Digit 9,5.0291,13.7938,4.0461,0.6981
Digit 4,17.259956,-6.463636,-,Digit 4,-13.4751,-16.2469,9.4054,18.0898
Digit 1,33.33036,2.7244964,-,Digit 1,-19.2791,-19.1757,-14.1041,-15.2941
Digit 1,28.818146,18.871082,-,Digit 1,12.9121,5.2288,-14.0253,-7.5541
Digit 0,-34.343433,12.184808,-,Digit 0,-7.8199,-12.7995,-3.1873,8.027
Digit 6,-23.485573,-22.145758,-,Digit 6,18.1669,4.1385,-1.831,7.271
Digit 3,-11.42776,8.713932,-,Digit 3,-3.146,-14.0275,-10.3604,-17.8848
Digit 1,29.60394,5.4897246,-,Digit 1,-12.8313,11.4971,-0.1642,-12.5201
Digit 1,25.201841,14.991691,-,Digit 1,-15.999,-9.6662,-16.4332,-0.6917
Digit 8,13.777314,14.798648,-,Digit 8,8.4152,8.3407,-9.1994,3.0228
Digit 4,4.5680017,-32.734943,-,Digit 4,9.718,11.1307,-1.3692,-1.4695
Digit 4,16.554007,-3.3974535,-,Digit 4,1.1185,6.785,0.6684,-6.0161
Digit 3,-18.449053,9.37232,-,Digit 3,5.1848,12.0772,-13.9871,2.2447
Digit 4,3.3547218,-22.404984,-,Digit 4,-17.2862,20.7527,-7.5118,12.8989
Digit 9,5.6612973,-13.694913,-,Digit 9,17.8242,15.9896,13.7762,16.2027
Digit 9,20.954702,-13.916543,-,Digit 9,7.1718,14.9286,7.5924,1.0059
Digit 1,30.592918,14.936155,-,Digit 1,9.9262,-4.4056,14.9411,-8.3802
Digit 7,34.541496,-16.263407,-,Digit 7,20.0923,0.933,-7.8344,-0.1529
Digit 1,21.630266,22.31834,-,Digit 1,4.732,18.6515,18.5863,7.1016
Digit 2,-5.2672977,37.41665,-,Digit 2,5.3676,6.1486,14.3127,-11.7527
Digit 1,25.410294,21.742197,-,Digit 1,4.8234,15.1877,-1.8835,16.6102
Digit 4,15.364936,-0.75434345,-,Digit 4,-1.0977,-9.1135,6.5467,-1.8877
Digit 2,1.1338853,34.284348,-,Digit 2,0.2427,0.1787,-1.3757,3.3885
Digit 5,1.353788,-4.0444775,-,Digit 5,12.5232,-0.8405,17.9536,-11.8709
Digit 8,15.046312,17.798258,-,Digit 8,-10.6961,18.2546,11.0738,-7.3893
Digit 6,-19.497974,-23.801369,-,Digit 6,-0.5903,0.5316,-12.476,13.4143
Digit 7,28.434948,-22.238884,-,Digit 7,10.6172,5.4393,2.6185,3.2848
Digit 1,29.564789,14.979959,-,Digit 1,-5.3366,4.3409,0.1582,1.0106
Digit 4,17.617533,-0.69810814,-,Digit 4,18.3652,-4.2569,-13.8753,15.4877
Digit 6,-17.402227,-17.902618,-,Digit 6,9.2976,14.4108,6.5027,-18.9165
Digit 2,9.146022,26.283178,-,Digit 2,7.2875,18.1461,-9.5145,12.0459
Digit 4,0.02812807,-22.498888,-,Digit 4,6.3531,-13.9951,-3.0272,6.59
Digit 3,-16.060375,-0.44012338,-,Digit 3,13.6819,-12.6429,7.0044,8.4981
Digit 9,7.4396744,-23.957113,-,Digit 9,6.9515,16.233,-10.2613,-6.834
Digit 1,23.681936,22.27627,-,Digit 1,-9.6118,-1.5771,-4.3,15.7771
Digit 3,-8.84482,18.326262,-,Digit 3,15.9369,6.8133,-16.9142,-3.1284
Digit 6,-19.159853,-9.596024,-,Digit 6,18.0383,-11.4502,-4.857,-12.4493
Digit 4,11.38873,-25.50518,-,Digit 4,-19.734,-12.4655,17.8349,19.1627
Digit 9,18.837198,-12.0628395,-,Digit 9,14.9418,-16.1062,14.5278,-3.5887
Digit 6,-19.143145,-13.434707,-,Digit 6,8.5081,-14.8911,-19.7696,-19.8943
Digit 1,20.903654,26.430763,-,Digit 1,-7.1531,1.8591,11.05,-12.0206
Digit 1,34.02842,2.4298196,-,Digit 1,-5.278,-3.5225,3.3796,-3.8517
Digit 9,-12.586748,10.34521,-,Digit 9,-14.552,14.8637,-8.6304,-17.6131
Digit 7,27.19419,-27.828955,-,Digit 7,2.9833,6.3226,18.2565,19.2765
Digit 0,-31.548964,0.90471184,-,Digit 0,-14.1517,4.6414,-11.1182,8.4364
Digit 1,27.76115,6.960356,-,Digit 1,-17.521,16.07,-3.8815,7.3925
Digit 0,-33.200134,-1.9628977,-,Digit 0,3.2829,1.7985,-11.9022,-0.1132
Digit 0,-19.82367,20.683111,-,Digit 0,-5.33,-4.7739,14.9691,9.595
Digit 0,-38.42596,2.8339055,-,Digit 0,-11.3226,2.6502,0.8612,-15.0056
Digit 3,-12.06541,17.091686,-,Digit 3,3.344,-16.0003,-16.4787,12.9941
Digit 7,19.373642,-22.919176,-,Digit 7,-12.1548,6.9261,10.4854,1.8777
Digit 5,-13.042018,-3.2222347,-,Digit 5,-2.6267,2.9996,4.4086,-3.1786
Digit 0,-36.2095,1.018583,-,Digit 0,-12.1111,19.3502,-18.3289,6.6962
Digit 1,19.57232,26.333736,-,Digit 1,10.5106,-13.3458,2.0091,-12.1423
Digit 7,31.69167,-19.235167,-,Digit 7,15.9163,8.8837,0.3947,-10.7562
Digit 1,32.630753,3.292857,-,Digit 1,1.1324,-1.0056,-18.2366,-0.4897
Digit 3,-15.846634,21.92815,-,Digit 3,-2.3521,11.822,-7.3089,-11.5775
Digit 2,-29.572384,1.6527117,-,Digit 2,-6.7923,6.4439,4.7072,-19.627
Digit 0,-40.07163,4.5230055,-,Digit 0,-1.1826,18.35,5.4217,-14.4587
Digit 3,-5.2458854,18.165056,-,Digit 3,19.3649,-13.2782,-5.2477,-12.1228
Digit 1,28.463036,8.3249445,-,Digit 1,-0.4095,-15.2164,5.6702,10.6328
Digit 4,12.300881,-14.294734,-,Digit 4,12.7994,2.1765,17.7324,6.6131
Digit 3,-14.8651085,25.020014,-,Digit 3,-2.4495,11.7394,5.2092,-4.9258
Digit 0,-38.643444,4.8961554,-,Digit 0,-18.309,14.5489,-18.9911,1.8636
Digit 0,-35.820633,0.2353517,-,Digit 0,-6.0061,10.0028,-18.2014,13.9576
Digit 9,7.7823267,-14.610375,-,Digit 9,16.4133,-14.3276,18.4587,2.1713
Digit 9,22.610159,-13.643134,-,Digit 9,14.9595,-0.2853,8.7544,9.2276
Digit 1,28.763775,6.989146,-,Digit 1,15.1499,-15.2372,4.7236,-19.4709
Digit 2,-6.22135,28.087536,-,Digit 2,6.8218,-15.2836,-16.2042,-4.8878
Digit 3,-14.713535,13.307072,-,Digit 3,-10.2351,7.947,2.1796,14.1857
Digit 2,6.570859,30.757381,-,Digit 2,17.7157,16.1619,19.7355,-11.6361
Digit 5,-14.911705,-3.4561746,-,Digit 5,-13.7863,7.1879,-2.5233,-5.1551
Digit 9,-9.560471,-29.329964,-,Digit 9,-5.1595,-13.3068,9.9981,1.9789
Digit 6,-17.382315,-11.794803,-,Digit 6,-8.7153,14.972,-5.6249,2.595
Digit 6,-19.323465,-16.206657,-,Digit 6,0.894,2.8348,15.9864,18.9416
Digit 5,-1.915815,-8.205649,-,Digit 5,-11.8304,-13.1985,13.3581,11.2041
Digit 5,-28.574394,6.254797,-,Digit 5,1.3373,1.5767,2.7834,14.093
Digit 8,-14.758207,9.051656,-,Digit 8,-2.3889,13.9875,-5.5602,17.6323
Digit 7,30.459373,-7.9864936,-,Digit 7,2.867,8.9061,-11.9764,13.6296
Digit 6,-22.33575,-8.88855,-,Digit 6,-8.5912,6.182,15.9533,-11.3856
Digit 1,22.009415,22.952822,-,Digit 1,-15.3377,4.2501,16.7661,-0.7831
Digit 0,-35.34281,2.9236395,-,Digit 0,-8.0514,-6.2542,10.729,18.3025
Digit 4,17.192059,-6.2245955,-,Digit 4,-11.1198,-13.1466,-9.6829,12.0578
Digit 4,13.476117,-12.09069,-,Digit 4,-10.9813,5.4581,-14.8725,11.1941
Digit 7,28.995369,-26.031012,-,Digit 7,15.3692,-10.6514,14.416,-1.8659
Digit 6,-16.984215,-16.603857,-,Digit 6,5.0989,12.5756,18.0284,8.8112
Digit 3,-16.458704,9.842458,-,Digit 3,15.8434,4.8817,-4.6677,17.3973
Digit 7,32.728966,-15.928699,-,Digit 7,18.941,-13.4927,-11.7783,-6.0596
Digit 4,1.4876103,-17.879032,-,Digit 4,4.0306,15.1421,-11.0782,5.1619
Digit 8,4.1238413,4.011413,-,Digit 8,-6.8122,-19.686,-3.7873,1.0575
Digit 2,-10.327456,39.16794,-,Digit 2,4.8739,2.3635,-13.8933,19.676
Digit 9,4.4332604,-15.532771,-,Digit 9,6.6462,-2.3097,-8.1762,-13.9975
Digit 1,28.86521,6.756417,-,Digit 1,18.3063,-19.5236,-6.5984,12.132
Digit 0,-28.31016,3.0074458,-,Digit 0,-11.2422,-19.2674,-11.3222,7.2178
Digit 6,-27.883102,-22.530792,-,Digit 6,-14.2695,1.6437,-16.6104,9.8904
Digit 8,21.703081,-7.8156896,-,Digit 8,-17.9743,2.3961,16.0566,-3.3104
Digit 1,35.212215,5.2131863,-,Digit 1,14.01,-0.5617,-14.5085,-16.2299
Digit 3,-6.282841,16.95316,-,Digit 3,7.0416,15.0974,10.6231,0.051
Digit 7,19.891363,-28.375977,-,Digit 7,-10.2606,-19.6361,15.6493,-3.2704
Digit 8,-11.57104,5.214908,-,Digit 8,14.2547,8.4847,-17.528,-19.1045
Digit 9,8.672588,-22.215967,-,Digit 9,17.1319,-2.3322,0.3887,4.4986
Digit 1,18.493793,30.142883,-,Digit 1,1.4372,-5.8094,8.4009,8.9597
Digit 3,-13.84632,12.54898,-,Digit 3,1.4125,-8.1176,-15.2783,-14.4056
Digit 1,33.789967,7.115985,-,Digit 1,2.5399,-3.2831,-5.8845,6.3961
Digit 2,4.2094455,26.71517,-,Digit 2,-4.0631,-4.3725,-13.2403,18.0953
Digit 9,9.903694,-18.339684,-,Digit 9,-5.037,-6.9823,-2.6634,-13.3038
Digit 0,-42.209045,0.32868642,-,Digit 0,9.8632,10.8475,0.9171,-6.8781
Digit 6,-24.566137,-28.249958,-,Digit 6,4.031,3.1422,17.5736,20.7993
Digit 1,29.807106,18.96194,-,Digit 1,10.5236,15.6572,11.8445,-18.0612
Digit 8,-0.5319212,8.2935705,-,Digit 8,17.5672,6.4742,2.2704,-0.3657
Digit 1,24.545675,21.176502,-,Digit 1,-4.7928,-8.71,5.7318,9.407
Digit 0,-30.923044,-3.0168767,-,Digit 0,11.1267,-18.4625,-5.8933,19.4364
Digit 7,29.252668,-5.899673,-,Digit 7,11.9599,-6.4969,11.1991,-13.1664
Digit 5,-7.2061086,-10.729776,-,Digit 5,-14.4417,-19.0366,14.4487,16.3672
Digit 5,-10.9699335,-3.2621338,-,Digit 5,6.1033,-13.0817,5.6007,16.1722
Digit 9,-4.072783,-25.636986,-,Digit 9,19.1298,2.2714,11.6826,-8.9298
Digit 5,-0.15021755,-11.486,-,Digit 5,1.2336,-14.0412,14.0916,-15.2712
Digit 0,-37.091793,8.729816,-,Digit 0,-19.794,1.2246,8.2194,-19.7172
Digit 3,-16.152834,24.309486,-,Digit 3,4.4645,16.6263,7.1321,17.9298
Digit 2,2.1173747,23.216362,-,Digit 2,18.6726,-5.544,-6.2915,-6.3721
Digit 7,25.011524,-22.962242,-,Digit 7,13.0996,19.6254,4.41,19.2821
Digit 9,-8.207519,7.886289,-,Digit 9,5.6578,3.6166,-11.0751,-6.9572
