,Unnamed: 0,x,y,mannual_label,correct_label
1058,Digit 9,19.165714,-10.921445,-,Digit 9
1059,Digit 7,29.018223,-15.979808,-,Digit 7
106,Digit 3,-2.8563075,16.531574,-,Digit 3
1060,Digit 5,-2.3638072,-5.9876614,-,Digit 5
1061,Digit 7,25.566593,-27.21445,-,Digit 7
1062,Digit 0,-34.779305,-2.3119287,0,Digit 0
1063,Digit 0,-35.359043,-3.4750922,0,Digit 0
1064,Digit 6,-22.201511,22.257376,-,Digit 6
1065,Digit 2,1.0304098,27.161161,-,Digit 2
1066,Digit 1,31.060984,5.719494,-,Digit 1
1067,Digit 0,-34.79213,-4.9291606,0,Digit 0
1068,Digit 1,33.208263,2.4616938,-,Digit 1
1069,Digit 0,-38.50802,-3.1947143,0,Digit 0
107,Digit 1,23.368687,25.03891,-,Digit 1
1070,Digit 2,0.3581793,33.932697,-,Digit 2
1071,Digit 8,-1.788308,12.401829,-,Digit 8
1072,Digit 2,-1.5274321,35.498924,-,Digit 2
1073,Digit 4,12.91109,-6.5971613,-,Digit 4
1074,Digit 9,1.5535448,-24.622316,-,Digit 9
1075,Digit 3,2.2665253,37.5735,-,Digit 3
1076,Digit 7,26.07949,-21.900314,-,Digit 7
1077,Digit 5,-0.1385683,-11.7978735,-,Digit 5
1078,Digit 9,-6.585586,-29.119694,-,Digit 9
1079,Digit 0,-36.310993,4.6256237,0,Digit 0
108,Digit 6,-18.83233,-17.737135,-,Digit 6
1080,Digit 1,25.182186,13.033419,-,Digit 1
1081,Digit 5,-2.0749497,-11.774984,-,Digit 5
1082,Digit 4,14.64026,-10.343773,-,Digit 4
1083,Digit 3,-7.119538,16.39782,-,Digit 3
1084,Digit 2,-10.452158,34.01879,-,Digit 2
1085,Digit 6,-19.285112,-19.834156,-,Digit 6
1086,Digit 7,30.077852,-8.937633,-,Digit 7
1087,Digit 1,28.958319,15.335098,-,Digit 1
1088,Digit 6,-27.277605,-26.295034,-,Digit 6
1089,Digit 4,16.746288,-6.09183,-,Digit 4
109,Digit 7,20.72969,-21.002182,-,Digit 7
1090,Digit 8,4.6032,8.709088,-,Digit 8
1091,Digit 3,-9.83408,19.358831,-,Digit 3
1092,Digit 2,-30.673546,18.193317,0,Digit 2
1093,Digit 4,12.477186,-9.692465,-,Digit 4
1094,Digit 3,-8.774952,20.560303,-,Digit 3
1095,Digit 5,-1.4100089,-13.525481,-,Digit 5
1096,Digit 1,25.493118,13.570987,-,Digit 1
1097,Digit 2,0.1526625,23.557467,-,Digit 2
1098,Digit 8,10.38172,13.473044,-,Digit 8
1099,Digit 6,-19.128641,-14.140566,-,Digit 6
11,Digit 3,-14.682464,23.055588,-,Digit 3
110,Digit 7,29.628122,-24.914732,-,Digit 7
1100,Digit 7,24.934822,-31.464674,-,Digit 7
1101,Digit 7,26.098082,-31.068485,-,Digit 7
1102,Digit 2,4.463934,-7.931109,-,Digit 2
1103,Digit 9,5.962003,-14.463537,-,Digit 9
1104,Digit 1,6.805888,30.222952,-,Digit 1
1105,Digit 8,-15.082529,-14.50638,-,Digit 8
1106,Digit 3,-7.551426,10.660396,-,Digit 3
1107,Digit 1,31.399399,7.314168,-,Digit 1
1108,Digit 7,24.076506,-27.708626,-,Digit 7
1109,Digit 6,13.433852,7.8246865,-,Digit 6
111,Digit 2,-2.399669,30.212227,-,Digit 2
1110,Digit 4,17.595074,-2.213595,-,Digit 4
1111,Digit 0,-36.64561,5.413814,0,Digit 0
1112,Digit 3,-14.469883,7.097804,-,Digit 3
1113,Digit 8,-17.357721,3.332493,-,Digit 8
1114,Digit 3,-11.842468,7.325411,-,Digit 3
1115,Digit 7,21.063265,-21.10314,-,Digit 7
1116,Digit 4,4.2343264,-18.185633,-,Digit 4
1117,Digit 4,-3.8670206,-33.267574,-,Digit 4
1118,Digit 3,-12.426876,12.360643,-,Digit 3
1119,Digit 0,-30.793407,5.0787673,0,Digit 0
112,Digit 5,-10.267223,-5.697202,-,Digit 5
1120,Digit 5,-19.110495,5.176379,-,Digit 5
1121,Digit 9,1.686,-22.04636,-,Digit 9
1122,Digit 4,-1.9924191,-32.19998,-,Digit 4
1123,Digit 8,-0.6652979,11.439796,-,Digit 8
1124,Digit 1,26.410158,21.36014,-,Digit 1
1125,Digit 2,-9.276213,34.474285,-,Digit 2
1126,Digit 1,16.482002,30.318836,-,Digit 1
1127,Digit 2,-10.541838,34.654808,-,Digit 2
1128,Digit 8,7.5664916,5.6466246,-,Digit 8
1129,Digit 4,11.499854,-10.640544,-,Digit 4
113,Digit 2,-5.0445757,33.2357,-,Digit 2
1130,Digit 8,15.551685,12.6871,-,Digit 8
1131,Digit 8,4.95492,13.669429,-,Digit 8
1132,Digit 4,12.41214,-13.890144,-,Digit 4
1133,Digit 1,34.11675,9.404345,-,Digit 1
1134,Digit 8,8.506895,7.302661,-,Digit 8
1135,Digit 8,28.95701,-5.5477104,-,Digit 8
1136,Digit 4,0.0796063,-19.022417,-,Digit 4
1137,Digit 3,-16.83162,22.477041,-,Digit 3
1138,Digit 7,18.46909,-30.797754,-,Digit 7
1139,Digit 6,25.052128,21.490118,-,Digit 6
114,Digit 3,-13.238831,17.795765,-,Digit 3
1140,Digit 3,-16.001911,19.408783,-,Digit 3
1141,Digit 7,21.928617,-27.350445,-,Digit 7
1142,Digit 3,-9.17518,8.697358,-,Digit 3
1143,Digit 8,14.1888075,14.348689,-,Digit 8
1144,Digit 8,-1.1802994,11.683482,-,Digit 8
1145,Digit 4,0.0061143,-16.069569,-,Digit 4
1146,Digit 1,29.586521,17.154015,-,Digit 1
1147,Digit 6,-23.991549,-25.1631,-,Digit 6
1148,Digit 8,9.074564,15.442608,-,Digit 8
1149,Digit 6,-18.0786,-11.857824,-,Digit 6
115,Digit 3,-18.763252,14.2512665,-,Digit 3
1150,Digit 9,7.262332,-21.317944,-,Digit 9
1151,Digit 1,34.359856,9.24441,-,Digit 1
1152,Digit 3,-14.981345,24.49059,-,Digit 3
1153,Digit 1,23.17274,20.275476,-,Digit 1
1154,Digit 3,-8.098009,9.679512,-,Digit 3
1155,Digit 4,21.405796,-3.9611282,-,Digit 4
1156,Digit 7,19.27246,-27.09652,-,Digit 7
1157,Digit 7,25.66794,-22.240509,-,Digit 7
1158,Digit 3,6.411446,17.617716,-,Digit 3
1159,Digit 2,-10.538246,33.365097,-,Digit 2
116,Digit 7,29.721905,-9.471136,-,Digit 7
1160,Digit 3,-19.908005,11.533906,-,Digit 3
1161,Digit 1,26.678463,20.716562,-,Digit 1
1162,Digit 4,3.095808,-14.525586,-,Digit 4
1163,Digit 9,-4.277318,-26.095802,-,Digit 9
1164,Digit 0,-40.002457,4.417724,0,Digit 0
1165,Digit 8,13.888569,14.822263,-,Digit 8
1166,Digit 1,18.322697,25.620441,-,Digit 1
1167,Digit 2,-5.299989,40.78411,-,Digit 2
1168,Digit 8,10.838229,11.651549,-,Digit 8
1169,Digit 4,8.989598,-29.886719,-,Digit 4
117,Digit 3,-8.528891,18.00663,-,Digit 3
1170,Digit 6,-22.422455,-25.904793,-,Digit 6
1171,Digit 0,-31.056334,5.823427,0,Digit 0
1172,Digit 0,-38.655403,2.5419428,0,Digit 0
1173,Digit 3,-12.594565,23.944292,-,Digit 3
1174,Digit 9,23.659185,-17.91015,-,Digit 9
1175,Digit 8,1.252108,8.623806,-,Digit 8
1176,Digit 8,11.069315,16.772493,-,Digit 8
1177,Digit 8,-8.998038,3.5527878,-,Digit 8
1178,Digit 1,21.065224,24.473845,-,Digit 1
1179,Digit 0,-13.190047,-28.576586,-,Digit 0
118,Digit 3,-9.941568,13.853569,-,Digit 3
1180,Digit 7,17.400297,-28.425974,-,Digit 7
1181,Digit 4,14.75281,-1.0487334,-,Digit 4
1182,Digit 9,2.257299,-23.935778,-,Digit 9
1183,Digit 9,19.9489,-25.177319,-,Digit 9
1184,Digit 9,23.211481,-16.206558,-,Digit 9
1185,Digit 3,-14.830251,8.104251,-,Digit 3
1186,Digit 9,14.321591,-20.202873,-,Digit 9
1187,Digit 1,25.708302,13.857934,-,Digit 1
1188,Digit 7,29.533735,-15.212906,-,Digit 7
1189,Digit 0,-38.025185,-4.284801,0,Digit 0
119,Digit 3,-13.322629,13.067934,-,Digit 3
1190,Digit 3,17.774721,7.6414385,-,Digit 3
1191,Digit 2,-33.18871,5.689882,0,Digit 2
1192,Digit 2,-7.097368,37.725136,-,Digit 2
1193,Digit 7,29.562569,-20.11289,-,Digit 7
1194,Digit 7,29.424566,-25.043047,-,Digit 7
1195,Digit 0,-34.088566,-1.2782108,0,Digit 0
1196,Digit 3,-15.664137,17.136814,-,Digit 3
1197,Digit 2,1.194338,23.075739,-,Digit 2
1198,Digit 4,15.488089,-2.386186,-,Digit 4
1199,Digit 4,13.95013,-0.1210211,-,Digit 4
12,Digit 1,23.317448,26.35751,-,Digit 1
120,Digit 2,-11.744813,34.191513,-,Digit 2
1200,Digit 6,-21.30792,-10.552997,-,Digit 6
1201,Digit 1,21.77143,29.559673,-,Digit 1
1202,Digit 7,21.565454,-20.46415,-,Digit 7
1203,Digit 9,-6.0843573,-29.013924,-,Digit 9
1204,Digit 9,24.4054,-9.992015,-,Digit 9
1205,Digit 7,27.192465,-15.7424755,-,Digit 7
1206,Digit 2,1.2927516,37.99256,-,Digit 2
1207,Digit 3,-12.98408,21.998062,-,Digit 3
1208,Digit 6,-27.473803,-27.720968,-,Digit 6
1209,Digit 4,-1.2215543,-31.351398,-,Digit 4
121,Digit 3,-18.598846,14.546869,-,Digit 3
1210,Digit 4,17.834862,-1.0141966,-,Digit 4
1211,Digit 1,18.560097,29.66808,-,Digit 1
1212,Digit 5,2.1404676,-9.426567,-,Digit 5
1213,Digit 6,-24.321981,-15.768309,-,Digit 6
1214,Digit 6,-23.963062,-25.142553,-,Digit 6
1215,Digit 0,-34.134884,-0.2911978,0,Digit 0
1216,Digit 7,27.55478,-20.15076,-,Digit 7
1217,Digit 2,1.353968,34.918613,-,Digit 2
1218,Digit 7,27.157616,-15.45237,-,Digit 7
1219,Digit 9,18.314714,-15.529538,-,Digit 9
122,Digit 5,-15.172027,5.683902,-,Digit 5
1220,Digit 5,-17.652048,-8.481563,-,Digit 5
1221,Digit 0,-43.80525,-4.3409333,0,Digit 0
1222,Digit 6,-22.328651,-20.454596,-,Digit 6
1223,Digit 9,-3.4680772,-28.28079,-,Digit 9
1224,Digit 5,-12.056056,-5.6686206,-,Digit 5
1225,Digit 7,26.842117,-24.236517,-,Digit 7
1226,Digit 7,9.195874,-26.867496,-,Digit 7
1227,Digit 2,3.6618478,26.382336,-,Digit 2
1228,Digit 7,19.787088,-28.366371,-,Digit 7
1229,Digit 2,0.7812319,28.454077,-,Digit 2
123,Digit 6,20.547682,17.970026,-,Digit 6
1230,Digit 0,-30.989143,5.167023,0,Digit 0
1231,Digit 0,-31.423058,7.0497246,0,Digit 0
1232,Digit 4,2.1305933,-20.12562,-,Digit 4
1233,Digit 7,25.28243,-17.383549,-,Digit 7
1234,Digit 1,22.049534,21.574045,-,Digit 1
1235,Digit 2,0.0089271,31.305729,-,Digit 2
1236,Digit 2,-9.242831,34.556538,-,Digit 2
1237,Digit 3,5.4843535,1.4392854,-,Digit 3
1238,Digit 5,-33.43849,0.3248411,0,Digit 5
1239,Digit 3,-7.43487,16.271921,-,Digit 3
124,Digit 1,23.652184,22.103079,-,Digit 1
1240,Digit 4,10.624656,-10.304331,-,Digit 4
1241,Digit 3,-14.011263,27.792156,-,Digit 3
1242,Digit 8,7.21253,11.1718,-,Digit 8
1243,Digit 4,-3.8609812,-33.365242,-,Digit 4
1244,Digit 6,-28.29402,-20.190866,-,Digit 6
1245,Digit 6,-22.571236,-16.659943,-,Digit 6
1246,Digit 8,-12.174939,5.404738,-,Digit 8
1247,Digit 2,-29.590683,15.467998,0,Digit 2
1248,Digit 3,-11.846329,22.626213,-,Digit 3
1249,Digit 5,0.1020125,-4.1076694,-,Digit 5
125,Digit 4,-3.0976615,-31.895702,-,Digit 4
1250,Digit 9,7.0501146,-16.216099,-,Digit 9
1251,Digit 7,33.852295,-15.851236,-,Digit 7
1252,Digit 4,-1.2425343,-20.519384,-,Digit 4
1253,Digit 1,18.107307,29.797024,-,Digit 1
1254,Digit 3,-13.310542,10.848548,-,Digit 3
1255,Digit 2,2.8648756,35.769913,-,Digit 2
1256,Digit 1,28.95131,16.904236,-,Digit 1
1257,Digit 8,-2.0653563,7.1126523,-,Digit 8
1258,Digit 1,22.831684,25.021547,-,Digit 1
1259,Digit 1,20.56265,24.621767,-,Digit 1
126,Digit 7,22.613462,-26.254618,-,Digit 7
1260,Digit 5,-16.553629,-3.9642286,-,Digit 5
1261,Digit 8,12.405421,15.282114,-,Digit 8
1262,Digit 4,13.820703,-7.904914,-,Digit 4
1263,Digit 6,-21.643011,-27.394749,-,Digit 6
1264,Digit 3,-6.185367,12.76494,-,Digit 3
1265,Digit 6,-14.149693,1.2689894,-,Digit 6
1266,Digit 9,-5.7493067,-29.150324,-,Digit 9
1267,Digit 9,0.9794628,-22.494242,-,Digit 9
1268,Digit 9,8.406032,-13.604926,-,Digit 9
1269,Digit 1,23.92707,26.35179,-,Digit 1
127,Digit 7,20.818373,-27.143415,-,Digit 7
1270,Digit 0,-32.07328,-0.6457406,0,Digit 0
1271,Digit 8,11.247192,17.182674,-,Digit 8
1272,Digit 0,-30.712072,-2.810733,0,Digit 0
1273,Digit 4,11.694827,-3.9766831,-,Digit 4
1274,Digit 0,-36.217293,1.7115619,0,Digit 0
1275,Digit 1,27.431759,11.148254,-,Digit 1
1276,Digit 7,32.49671,-15.378103,-,Digit 7
1277,Digit 6,-18.00371,-7.283569,-,Digit 6
1278,Digit 5,-18.845438,1.7224302,-,Digit 5
1279,Digit 2,5.837958,25.901623,-,Digit 2
128,Digit 6,-20.702702,-20.884975,-,Digit 6
1280,Digit 4,-0.7196093,-22.323866,-,Digit 4
1281,Digit 4,8.440108,-8.064213,-,Digit 4
1282,Digit 0,-31.703651,11.74952,0,Digit 0
1283,Digit 3,-17.133308,16.878664,-,Digit 3
1284,Digit 2,-30.613634,18.30231,0,Digit 2
1285,Digit 3,-10.594358,22.220484,-,Digit 3
1286,Digit 8,-1.1738737,14.372755,-,Digit 8
1287,Digit 7,32.26523,-13.654397,-,Digit 7
1288,Digit 3,-17.525381,6.3520713,-,Digit 3
1289,Digit 2,6.4385624,-4.066199,-,Digit 2
129,Digit 2,-4.7082067,27.195127,-,Digit 2
1290,Digit 4,7.4853053,-29.990042,-,Digit 4
1291,Digit 6,-19.923231,-26.46469,-,Digit 6
1292,Digit 6,-24.06529,-14.272312,-,Digit 6
1293,Digit 6,-24.123014,-27.770723,-,Digit 6
1294,Digit 8,-15.584359,3.5535426,-,Digit 8
1295,Digit 0,-37.709415,-5.5580797,0,Digit 0
1296,Digit 8,-2.7041936,15.536325,-,Digit 8
1297,Digit 3,-16.418125,6.8365636,-,Digit 3
1298,Digit 5,-2.608942,-5.5239425,-,Digit 5
1299,Digit 0,-35.52624,5.688396,0,Digit 0
13,Digit 2,-5.5731344,29.876577,-,Digit 2
130,Digit 6,-21.469835,-27.357542,-,Digit 6
1300,Digit 0,-30.904121,7.146052,0,Digit 0
1301,Digit 1,17.82693,32.240654,-,Digit 1
1302,Digit 8,7.578292,13.424846,-,Digit 8
1303,Digit 9,10.11534,-18.829998,-,Digit 9
1304,Digit 6,-19.652126,-26.902346,-,Digit 6
1305,Digit 2,3.7453194,26.629856,-,Digit 2
1306,Digit 9,12.638175,-17.906706,-,Digit 9
1307,Digit 1,20.304028,28.667036,-,Digit 1
1308,Digit 2,-2.1397533,35.906933,-,Digit 2
1309,Digit 0,-34.20238,8.729097,0,Digit 0
131,Digit 7,19.817453,-28.184324,-,Digit 7
1310,Digit 9,3.2071774,-23.651722,-,Digit 9
1311,Digit 5,-14.66233,-3.2809086,-,Digit 5
1312,Digit 0,-32.430103,-0.088825,0,Digit 0
1313,Digit 1,30.611273,20.378622,-,Digit 1
1314,Digit 5,-9.928864,-5.8679543,-,Digit 5
1315,Digit 5,-20.09086,5.935582,-,Digit 5
1316,Digit 7,25.040554,-20.914135,-,Digit 7
1317,Digit 6,-16.20226,-13.056269,-,Digit 6
1318,Digit 9,-8.168868,8.154335,-,Digit 9
1319,Digit 9,7.384303,-22.35929,-,Digit 9
132,Digit 0,-33.18229,9.825822,0,Digit 0
1320,Digit 4,20.59642,-3.3261843,-,Digit 4
1321,Digit 8,-0.1150981,15.81379,-,Digit 8
1322,Digit 8,9.576359,14.893028,-,Digit 8
1323,Digit 6,-23.781538,-9.314948,-,Digit 6
1324,Digit 7,23.595207,-26.62483,-,Digit 7
1325,Digit 4,-9.268462,-31.558138,-,Digit 4
1326,Digit 0,-12.495832,-10.766299,-,Digit 0
1327,Digit 0,-27.442976,1.946363,0,Digit 0
1328,Digit 2,7.0684614,28.496016,-,Digit 2
1329,Digit 1,26.122871,20.62332,-,Digit 1
133,Digit 3,-16.993914,14.665086,-,Digit 3
1330,Digit 6,-29.366968,-15.930433,-,Digit 6
1331,Digit 9,18.110992,-13.038203,-,Digit 9
1332,Digit 7,26.114378,-19.257383,-,Digit 7
1333,Digit 8,-29.684881,11.74923,0,Digit 8
1334,Digit 1,34.56189,7.8521295,-,Digit 1
1335,Digit 0,-35.163254,-3.1612804,0,Digit 0
1336,Digit 3,-9.949559,11.943353,-,Digit 3
1337,Digit 0,-12.23645,-10.982931,-,Digit 0
1338,Digit 5,-3.3642318,-7.1222672,-,Digit 5
1339,Digit 5,-9.333516,-4.676717,-,Digit 5
134,Digit 0,-36.068657,7.3795304,0,Digit 0
1340,Digit 0,-36.377995,3.6220622,0,Digit 0
1341,Digit 6,-17.338638,-13.681146,-,Digit 6
1342,Digit 7,29.859604,-15.722759,-,Digit 7
1343,Digit 3,-17.46693,5.9084215,-,Digit 3
1344,Digit 0,-32.141193,11.50369,0,Digit 0
1345,Digit 0,-36.01928,0.2126564,0,Digit 0
1346,Digit 9,18.836899,-19.212637,-,Digit 9
1347,Digit 4,-2.6136835,-26.179802,-,Digit 4
1348,Digit 4,8.581689,-8.155081,-,Digit 4
1349,Digit 9,16.162458,-13.246124,-,Digit 9
135,Digit 4,-15.760696,-15.690261,-,Digit 4
1350,Digit 7,28.979061,-18.408562,-,Digit 7
1351,Digit 1,29.512213,14.3438015,-,Digit 1
1352,Digit 1,20.341658,25.576399,-,Digit 1
1353,Digit 6,-27.030106,-24.266138,-,Digit 6
1354,Digit 2,-0.5999421,24.615314,-,Digit 2
1355,Digit 6,-25.231133,-23.427696,-,Digit 6
1356,Digit 2,4.1807556,31.473299,-,Digit 2
1357,Digit 5,-10.408371,0.9608592,-,Digit 5
1358,Digit 3,-12.9795,24.328112,-,Digit 3
1359,Digit 5,-4.310358,-4.6023135,-,Digit 5
136,Digit 4,-7.2460685,-24.216118,-,Digit 4
1360,Digit 2,-6.544868,38.540874,-,Digit 2
1361,Digit 9,-5.1364355,-29.894415,-,Digit 9
1362,Digit 8,13.369961,17.301395,-,Digit 8
1363,Digit 5,-8.772317,0.0712898,-,Digit 5
1364,Digit 8,12.179263,14.6806965,-,Digit 8
1365,Digit 3,-14.090162,11.618343,-,Digit 3
1366,Digit 8,-15.749779,4.3769717,-,Digit 8
1367,Digit 5,3.4777946,-4.804289,-,Digit 5
1368,Digit 3,-12.299249,26.869383,-,Digit 3
1369,Digit 1,22.504513,25.888132,-,Digit 1
137,Digit 2,1.0401938,36.620655,-,Digit 2
1370,Digit 7,21.983828,-27.34287,-,Digit 7
1371,Digit 5,-12.9162445,-0.4347999,-,Digit 5
1372,Digit 2,-5.341522,38.556152,-,Digit 2
1373,Digit 1,27.185263,19.341448,-,Digit 1
1374,Digit 8,13.265617,10.333411,-,Digit 8
1375,Digit 7,23.317318,-23.928522,-,Digit 7
1376,Digit 9,16.459034,-13.11948,-,Digit 9
1377,Digit 6,-23.18066,-22.358786,-,Digit 6
1378,Digit 0,-34.21468,0.3759412,0,Digit 0
1379,Digit 1,30.116035,15.819298,-,Digit 1
138,Digit 5,-11.655034,3.6937876,-,Digit 5
1380,Digit 9,14.453742,-20.301285,-,Digit 9
1381,Digit 4,2.5749679,-20.070766,-,Digit 4
1382,Digit 8,-16.572598,4.4791107,-,Digit 8
1383,Digit 8,-0.8291192,4.814422,-,Digit 8
1384,Digit 7,5.362002,-25.054733,-,Digit 7
1385,Digit 9,-0.7888943,-26.110577,-,Digit 9
1386,Digit 3,-17.120667,21.584541,-,Digit 3
1387,Digit 1,26.011358,21.11938,-,Digit 1
1388,Digit 3,-16.720898,17.641542,-,Digit 3
1389,Digit 6,-25.13937,-25.93253,-,Digit 6
139,Digit 1,16.575277,33.20165,-,Digit 1
1390,Digit 5,-3.6184535,-12.288238,-,Digit 5
1391,Digit 7,27.34763,-15.205201,-,Digit 7
1392,Digit 8,-19.68889,20.7866,-,Digit 8
1393,Digit 9,7.639449,-24.661919,-,Digit 9
1394,Digit 4,-5.723717,-22.948267,-,Digit 4
1395,Digit 2,-21.34309,25.074045,-,Digit 2
1396,Digit 0,-28.61586,0.706026,0,Digit 0
1397,Digit 9,4.045717,-23.016842,-,Digit 9
1398,Digit 6,-26.801311,-18.33729,-,Digit 6
1399,Digit 6,-25.793985,-15.730452,-,Digit 6
14,Digit 1,22.12767,29.932766,-,Digit 1
140,Digit 9,6.157077,-14.824551,-,Digit 9
1400,Digit 1,26.02432,21.98683,-,Digit 1
1401,Digit 2,6.316703,30.480034,-,Digit 2
1402,Digit 8,8.999292,15.52856,-,Digit 8
1403,Digit 8,1.3357363,7.9629984,-,Digit 8
1404,Digit 5,-4.5032945,-3.181972,-,Digit 5
1405,Digit 6,-20.90957,-21.5516,-,Digit 6
1406,Digit 6,-19.346752,-24.055773,-,Digit 6
1407,Digit 4,2.0590243,-28.37285,-,Digit 4
1408,Digit 7,18.349258,-30.71769,-,Digit 7
1409,Digit 7,24.989367,-27.703321,-,Digit 7
141,Digit 0,-12.727534,-28.522276,-,Digit 0
1410,Digit 3,-8.93865,20.47916,-,Digit 3
1411,Digit 7,28.066673,-19.03274,-,Digit 7
1412,Digit 1,20.00935,27.99417,-,Digit 1
1413,Digit 8,4.7449455,14.608565,-,Digit 8
1414,Digit 0,-30.822786,4.626324,0,Digit 0
1415,Digit 8,-0.8201638,10.711159,-,Digit 8
1416,Digit 0,-32.002045,1.87916,0,Digit 0
1417,Digit 9,-2.9944553,-27.237621,-,Digit 9
1418,Digit 6,-20.81976,-10.6033745,-,Digit 6
1419,Digit 7,23.515785,-31.915997,-,Digit 7
142,Digit 6,-20.02652,-20.490797,-,Digit 6
1420,Digit 3,-14.41518,18.933123,-,Digit 3
1421,Digit 2,21.433882,14.95313,-,Digit 2
1422,Digit 2,21.668226,14.933499,-,Digit 2
1423,Digit 8,12.5292225,14.8336735,-,Digit 8
1424,Digit 9,7.604168,-12.251846,-,Digit 9
1425,Digit 1,33.505596,8.683291,-,Digit 1
1426,Digit 3,-15.785644,17.724436,-,Digit 3
1427,Digit 8,6.738214,11.327847,-,Digit 8
1428,Digit 2,2.669559,32.091904,-,Digit 2
1429,Digit 7,30.40486,-18.583805,-,Digit 7
143,Digit 2,1.8220166,5.0825877,-,Digit 2
1430,Digit 8,10.40346,15.842164,-,Digit 8
1431,Digit 1,31.032745,9.184431,-,Digit 1
1432,Digit 4,4.772492,-31.907883,-,Digit 4
1433,Digit 5,-2.243196,-5.947416,-,Digit 5
1434,Digit 2,4.857945,25.02568,-,Digit 2
1435,Digit 6,-21.133532,-18.747717,-,Digit 6
1436,Digit 7,30.343033,-10.404824,-,Digit 7
1437,Digit 1,32.69772,8.601884,-,Digit 1
1438,Digit 6,-0.3134975,-1.8138106,-,Digit 6
1439,Digit 7,29.773783,-16.979975,-,Digit 7
144,Digit 7,22.835897,-32.788788,-,Digit 7
1440,Digit 3,-13.097639,7.400303,-,Digit 3
1441,Digit 2,3.9185503,26.774258,-,Digit 2
